GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Player,PlayerType-1,ActionClass,PlayerType-0,ActionDescription,PiecesLeft-1,ActionSize,PiecesLeft-0
-825656907,Checkers,0,ACTION_TAKEN,1,1,2,2,0,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [1,2] to [0,3]",11,7,12
-825656907,Checkers,0,ACTION_TAKEN,2,2,2,2,1,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [7,6] to [6,5]",11,8,12
-825656907,Checkers,0,ACTION_TAKEN,3,3,2,2,0,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [5,2] to [6,3]",11,8,12
-825656907,Checkers,0,ACTION_TAKEN,4,4,2,2,1,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [4,5] to [3,4]",11,9,12
-825656907,Checkers,0,ACTION_TAKEN,5,5,2,2,0,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [6,3] to [7,4]",11,8,12
-825656907,Checkers,0,ACTION_TAKEN,6,6,2,2,1,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [2,5] to [1,4]",11,1,12
-825656907,Checkers,0,ACTION_TAKEN,7,7,2,2,0,MCTS_CheckersHeuristic,Capture,MCTS_CheckersHeuristic,"Capture from [0,3] to [2,5]",10,1,12
-825656907,Checkers,0,ACTION_TAKEN,8,8,2,2,1,MCTS_CheckersHeuristic,Capture,MCTS_CheckersHeuristic,"Capture from [3,6] to [1,4]",10,7,11
-825656907,Checkers,0,ACTION_TAKEN,9,9,2,2,0,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [6,1] to [5,2]",10,10,11
-825656907,Checkers,0,ACTION_TAKEN,10,10,2,2,1,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [1,4] to [2,3]",10,1,11
-825656907,Checkers,0,ACTION_TAKEN,11,11,2,2,0,MCTS_CheckersHeuristic,Capture,MCTS_CheckersHeuristic,"Capture from [3,2] to [1,4]",9,1,11
-825656907,Checkers,0,ACTION_TAKEN,12,12,2,2,1,MCTS_CheckersHeuristic,Capture,MCTS_CheckersHeuristic,"Capture from [0,5] to [2,3]",9,9,10
-825656907,Checkers,0,ACTION_TAKEN,13,13,2,2,0,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [5,2] to [6,3]",9,10,10
-825656907,Checkers,0,ACTION_TAKEN,14,14,2,2,1,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [1,6] to [2,5]",9,8,10
-825656907,Checkers,0,ACTION_TAKEN,15,15,2,2,0,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [6,3] to [5,4]",9,1,10
-825656907,Checkers,0,ACTION_TAKEN,16,16,2,2,1,MCTS_CheckersHeuristic,Capture,MCTS_CheckersHeuristic,"Capture from [6,5] to [4,3]",9,9,9
-825656907,Checkers,0,ACTION_TAKEN,17,17,2,2,0,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [7,2] to [6,3]",9,12,9
-825656907,Checkers,0,ACTION_TAKEN,18,18,2,2,1,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [4,3] to [5,2]",9,8,9
-825656907,Checkers,0,ACTION_TAKEN,19,19,2,2,0,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [5,0] to [6,1]",9,11,9
-825656907,Checkers,0,ACTION_TAKEN,20,20,2,2,1,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [3,4] to [4,3]",9,7,9
-825656907,Checkers,0,ACTION_TAKEN,21,21,2,2,0,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [7,4] to [6,5]",9,1,9
-825656907,Checkers,0,ACTION_TAKEN,22,22,2,2,1,MCTS_CheckersHeuristic,Capture,MCTS_CheckersHeuristic,"Capture from [5,6] to [7,4]",9,6,8
-825656907,Checkers,0,ACTION_TAKEN,23,23,2,2,0,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [2,1] to [1,2]",9,11,8
-825656907,Checkers,0,ACTION_TAKEN,24,24,2,2,1,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [2,3] to [3,2]",9,1,8
-825656907,Checkers,0,ACTION_TAKEN,25,25,2,2,0,MCTS_CheckersHeuristic,Capture,MCTS_CheckersHeuristic,"Capture from [4,1] to [2,3]",8,11,8
-825656907,Checkers,0,ACTION_TAKEN,26,26,2,2,1,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [2,7] to [1,6]",8,8,8
-825656907,Checkers,0,ACTION_TAKEN,27,27,2,2,0,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [6,3] to [5,4]",8,10,8
-825656907,Checkers,0,ACTION_TAKEN,28,28,2,2,1,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [1,6] to [0,5]",8,9,8
-825656907,Checkers,0,ACTION_TAKEN,29,29,2,2,0,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [1,2] to [0,3]",8,11,8
-825656907,Checkers,0,ACTION_TAKEN,30,30,2,2,1,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [4,3] to [3,2]",8,1,8
-825656907,Checkers,0,ACTION_TAKEN,31,31,2,2,0,MCTS_CheckersHeuristic,Capture,MCTS_CheckersHeuristic,"Capture from [6,1] to [4,3]",7,11,8
-825656907,Checkers,0,ACTION_TAKEN,32,32,2,2,1,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [0,5] to [1,4]",7,1,8
-825656907,Checkers,0,ACTION_TAKEN,33,33,2,2,0,MCTS_CheckersHeuristic,Capture,MCTS_CheckersHeuristic,"Capture from [2,3] to [0,5]",6,10,8
-825656907,Checkers,0,ACTION_TAKEN,34,34,2,2,1,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [7,4] to [6,3]",6,10,8
-825656907,Checkers,0,ACTION_TAKEN,35,35,2,2,0,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [5,4] to [6,5]",6,11,8
-825656907,Checkers,0,ACTION_TAKEN,36,36,2,2,1,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [6,3] to [5,2]",6,11,8
-825656907,Checkers,0,ACTION_TAKEN,37,37,2,2,0,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [6,5] to [7,6]",6,10,8
-825656907,Checkers,0,ACTION_TAKEN,38,38,2,2,1,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [4,7] to [5,6]",6,9,8
-825656907,Checkers,0,ACTION_TAKEN,39,39,2,2,0,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [0,5] to [1,6]",6,8,8
-825656907,Checkers,0,ACTION_TAKEN,40,40,2,2,1,MCTS_CheckersHeuristic,Move,MCTS_CheckersHeuristic,"Move from [5,6] to [6,5]",6,9,8
